127.0.0.1 - - [26/Apr/2024:09:26:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:33 +0900] "GET /Shop/shop/order.jsp HTTP/1.1" 500 3185
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:36 +0900] "GET /Shop/shop/products.jsp HTTP/1.1" 200 8785
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:37 +0900] "GET /static/js/validation.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:37 +0900] "GET /Shop/shop/img?id=P100004 HTTP/1.1" 200 135131
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:37 +0900] "GET /Shop/shop/img?id=P100003 HTTP/1.1" 200 135873
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:37 +0900] "GET /Shop/shop/img?id=P123457 HTTP/1.1" 200 34664
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:37 +0900] "GET /Shop/shop/img?id=P100001 HTTP/1.1" 200 137744
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:37 +0900] "GET /Shop/shop/img?id=P100002 HTTP/1.1" 200 131528
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:39 +0900] "GET /Shop/shop/cart.jsp HTTP/1.1" 200 5139
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:26:41 +0900] "GET /Shop/shop/cart.jsp HTTP/1.1" 200 5139
